name,id
jaime navarro,1
mark mclemore,2
vladimir guerrero,3
andres galarraga,4
enrique wilson,5
miguel tejada,6
larry sutton,7
rico brogna,8
matt williams,9
jason dickson,10
joey hamilton,11
brian jordan,12
mickey morandini,13
vinny castilla,14
greg vaughn,15
bret boone,16
1,17
gary gaetti,18
paul konerko,19
jaime navarro,20
curt leskanic,21
buck martinez,22
jeff abbott,23
mark johnson,24
MOEN OIE,25
darryl hamilton,26
jeff blauser,27
carl everett,28
sidney ponson,29
mike jackson,30
roger cedeno,31
tony fernandez,32
sterling hitchcock,33
robin ventura,34
juan guzman,35
jeff bagwell,36
ellis burks,37
todd hundley,38
rickey henderson,39
jason kendall,40
kevin appier,41
joe girardi,42
tom glavine,43
karim garcia,44
craig biggio,45
chad ogea,46
benito santiago,47
scott brosius,48
karim garcia,49
travis fryman,50
rafael roque,51
tom candiotti,52
jeff kent,53
dennis eckersley,54
neifi perez,55
mark clark,56
andy ashby,57
shane monahan,58
alex gonzalez,59
matt morris,60
EERE DEDEDE,61
darrin fletcher,62
andy larkin,63
matt lawton,64
jose jimenez,65
2,66
david ortiz,67
mike cameron,68
ron gant,69
matt mantei,70
greg wells,71
CHAD HERNIFNSEN,72
pedro martinez,73
orlando cabrera,74
ISMREL URALDES,75
marlon anderson,76
EEE EEE,77
scott service,78
rolando arrojo,79
shawn green,80
mark mcgwire,81
geoff jenkins,82
alex rodriguez,83
mark grudzielanek,84
curt schilling,85
royce clayton,86
justin thompson,87
roberto alomar,88
3,89
HTE MEE,90
BTU AIRWCD,91
SRBN WEG,92
4,93
BSCRT ISG,94
ben ford,95
TRM RETDIEG,96
mike macfarlane,97
5,98
bobby hughes,99
6,100
ramon hernandez,101
joe girardi,102
scott spiezio,103
tony phillips,104
charles nagy,105
rondell white,106
bernie williams,107
tino martinez,108
juan encarnacion,109
esteban yan,110
kevin brown,111
darren bragg,112
heathcliff slocumb,113
ryan christenson,114
stan javier,115
jamie moyer,116
tony gwynn,117
derek bell,118
7,119
corey koskie,120
EEO EEO,121
pete harnisch,122
braden looper,123
bobby higginson,124
8,125
kevin jordan,126
kenny lofton,127
mike cameron,128
reggie sanders,129
eric davis,130
latroy hawkins,131
gabe kapler,132
jay buhner,133
jarrod washburn,134
chris widger,135
kirt manwaring,136
bobby bonilla,137
KELWN BRAKER,138
tom lampkin,139
pat hentgen,140
kent mercker,141
shane andrews,142
DWHKE SLUIEENEY,143
marquis grissom,144
jeff suppan,145
richie sexson,146
matt clement,147
RRFREL PALMEIAG,148
david cone,149
andruw jones,150
manny aybar,151
billy taylor,152
IEEE EEE,153
mark grudzielanek,154
hideki irabu,155
preston wilson,156
9,157
jose mesa,158
aaron sele,159
abraham nunez,160
fernando tatis,161
shigetoshi hasegawa,162
preston wilson,163
devon white,164
10,165
11,166
marty cordova,167
manny aybar,168
will clark,169
todd helton,170
brian anderson,171
troy o'leary,172
brant brown,173
moises alou,174
mark loretta,175
john valentin,176
michael tucker,177
dennis martinez,178
fernando vina,179
ozzie guillen,180
raul mondesi,181
ryan mcguire,182
paul o'neill,183
GUINTON NCRRCKEN,184
derek jeter,185
ken caminiti,186
kenny rogers,187
rickey henderson,188
mike bordick,189
bobby bonilla,190
wade boggs,191
TODD STOTTLEDIVAE,192
albert belle,193
kevin brown,194
jeromy burnitz,195
nomar garciaparra,196
steve finley,197
jose canseco,198
mark portugal,199
chad kreuter,200
EEE EEE,201
dante bichette,202
BUSS BRANYAN,203
shane andrews,204
butch huskey,205
reggie jefferson,206
willie greene,207
bill mueller,208
bobby estalella,209
omar daal,210
ricky ledee,211
chipper jones,212
edgar renteria,213
ken hill,214
kelvim escobar,215
brad ausmus,216
john mabry,217
chuck knoblauch,218
fred mcgriff,219
homer bush,220
gabe kapler,221
mike macfarlane,222
rondell white,223
tony saunders,224
